unidade;mes;ano;porte;quantidade
HJXXIII;Julho;2025;PORTE II ( 2 A 4 HORAS);284
HJXXIII;Julho;2025;PORTE III (4 A 5 HORAS);39
HJXXIII;Julho;2025;PORTE IV (ACIMA 6 HORAS);17
HJXXIII;Junho;2025;PORTE I (0 A 2 HORAS);641
HJXXIII;Junho;2025;PORTE II ( 2 A 4 HORAS);249
HJXXIII;Junho;2025;PORTE III (4 A 5 HORAS);31
HJXXIII;Junho;2025;PORTE IV (ACIMA 6 HORAS);14
HJXXIII;Maio;2025;PORTE I (0 A 2 HORAS);624
HJXXIII;Maio;2025;PORTE II ( 2 A 4 HORAS);244
HJXXIII;Maio;2025;PORTE III (4 A 5 HORAS);33
HJXXIII;Maio;2025;PORTE IV (ACIMA 6 HORAS);19
HJXXIII;MarÃ§o;2025;PORTE I (0 A 2 HORAS);641
HJXXIII;MarÃ§o;2025;PORTE II ( 2 A 4 HORAS);276
HJXXIII;MarÃ§o;2025;PORTE III (4 A 5 HORAS);67
HJXXIII;MarÃ§o;2025;PORTE IV (ACIMA 6 HORAS);21
HJXXIII;Outubro;2025;PORTE I (0 A 2 HORAS);683
HJXXIII;Outubro;2025;PORTE II ( 2 A 4 HORAS);255
HJXXIII;Outubro;2025;PORTE III (4 A 5 HORAS);41
HJXXIII;Outubro;2025;PORTE IV (ACIMA 6 HORAS);14
HJXXIII;Setembro;2025;PORTE I (0 A 2 HORAS);638
HJXXIII;Setembro;2025;PORTE II ( 2 A 4 HORAS);256
HJXXIII;Setembro;2025;PORTE III (4 A 5 HORAS);29
HJXXIII;Setembro;2025;PORTE IV (ACIMA 6 HORAS);20
HRAD;Abril;2025;PORTE I (0 A 2 HORAS);537
HRAD;Abril;2025;PORTE II ( 2 A 4 HORAS);62
HRAD;Abril;2025;PORTE III (4 A 5 HORAS);5
HRAD;Abril;2025;PORTE IV (ACIMA 6 HORAS);3
HRAD;Agosto;2025;PORTE I (0 A 2 HORAS);292
HRAD;Agosto;2025;PORTE II ( 2 A 4 HORAS);236
HRAD;Agosto;2025;PORTE III (4 A 5 HORAS);44
HRAD;Agosto;2025;PORTE IV (ACIMA 6 HORAS);20
HRAD;Fevereiro;2025;PORTE I (0 A 2 HORAS);444
HRAD;Fevereiro;2025;PORTE II ( 2 A 4 HORAS);168
HRAD;Fevereiro;2025;PORTE III (4 A 5 HORAS);51
HRAD;Fevereiro;2025;PORTE IV (ACIMA 6 HORAS);9
HRAD;Janeiro;2025;PORTE I (0 A 2 HORAS);351
HRAD;Janeiro;2025;PORTE II ( 2 A 4 HORAS);202
HRAD;Janeiro;2025;PORTE III (4 A 5 HORAS);26
HRAD;Janeiro;2025;PORTE IV (ACIMA 6 HORAS);10
HRAD;Julho;2025;PORTE I (0 A 2 HORAS);308
HRAD;Julho;2025;PORTE II ( 2 A 4 HORAS);263
HRAD;Julho;2025;PORTE III (4 A 5 HORAS);47
HRAD;Julho;2025;PORTE IV (ACIMA 6 HORAS);46
HRAD;Junho;2025;PORTE I (0 A 2 HORAS);289
HRAD;Junho;2025;PORTE II ( 2 A 4 HORAS);243
HRAD;Junho;2025;PORTE III (4 A 5 HORAS);55
HRAD;Junho;2025;PORTE IV (ACIMA 6 HORAS);19
HRAD;Maio;2025;PORTE I (0 A 2 HORAS);338
HRAD;Maio;2025;PORTE II ( 2 A 4 HORAS);167
HRAD;Maio;2025;PORTE III (4 A 5 HORAS);42
HRAD;Maio;2025;PORTE IV (ACIMA 6 HORAS);20
HRAD;MarÃ§o;2025;PORTE I (0 A 2 HORAS);518
HRAD;MarÃ§o;2025;PORTE II ( 2 A 4 HORAS);50
HRAD;MarÃ§o;2025;PORTE III (4 A 5 HORAS);5
HRAD;MarÃ§o;2025;PORTE IV (ACIMA 6 HORAS);1
HRAD;Outubro;2025;PORTE I (0 A 2 HORAS);262
HRAD;Outubro;2025;PORTE II ( 2 A 4 HORAS);284
HRAD;Outubro;2025;PORTE III (4 A 5 HORAS);55
HRAD;Outubro;2025;PORTE IV (ACIMA 6 HORAS);19
HRAD;Setembro;2025;PORTE I (0 A 2 HORAS);252
HRAD;Setembro;2025;PORTE II ( 2 A 4 HORAS);284
HRAD;Setembro;2025;PORTE III (4 A 5 HORAS);56
HRAD;Setembro;2025;PORTE IV (ACIMA 6 HORAS);27
HAC;Outubro;2025;PORTE I - PEQUENO;186
HAC;Outubro;2025;PORTE II - MÃ‰DIO;21
HAC;Outubro;2025;PORTE III - GRANDE;13
HAC;Outubro;2025;PORTE IV - SUPERIOR;11
HAC;Outubro;2025;PORTE SEM INFORMAÃ‡ÃƒO;3
HEM;Agosto;2025;PORTE I - PEQUENO;32
HEM;Agosto;2025;PORTE II - MÃ‰DIO;2
HEM;Julho;2025;PORTE I - PEQUENO;37
HEM;Julho;2025;PORTE II - MÃ‰DIO;1
HEM;Outubro;2025;PORTE I - PEQUENO;57
HEM;Outubro;2025;PORTE II - MÃ‰DIO;3
HEM;Outubro;2025;PORTE III - GRANDE;1
HEM;Setembro;2025;PORTE I - PEQUENO;48
HEM;Setembro;2025;PORTE II - MÃ‰DIO;3
HEM;Setembro;2025;PORTE SEM INFORMAÃ‡ÃƒO;1
HRBJA;Abril;2025;PORTE I - PEQUENO;179
HRBJA;Abril;2025;PORTE II - MÃ‰DIO;53
HRBJA;Abril;2025;PORTE III - GRANDE;8
HRBJA;Abril;2025;PORTE IV - SUPERIOR;1
HRBJA;Abril;2025;PORTE SEM INFORMAÃ‡ÃƒO;3
HRBJA;Agosto;2025;PORTE I - PEQUENO;210
HRBJA;Agosto;2025;PORTE II - MÃ‰DIO;59
HRBJA;Agosto;2025;PORTE III - GRANDE;10
HRBJA;Agosto;2025;PORTE IV - SUPERIOR;2
HRBJA;Agosto;2025;PORTE SEM INFORMAÃ‡ÃƒO;4
HRBJA;Fevereiro;2025;PORTE I - PEQUENO;188
HRBJA;Fevereiro;2025;PORTE II - MÃ‰DIO;47
HRBJA;Fevereiro;2025;PORTE III - GRANDE;1
HRBJA;Fevereiro;2025;PORTE IV - SUPERIOR;2
HRBJA;Janeiro;2025;PORTE I - PEQUENO;211
HRBJA;Janeiro;2025;PORTE II - MÃ‰DIO;58
HRBJA;Janeiro;2025;PORTE III - GRANDE;2
HRBJA;Janeiro;2025;PORTE IV - SUPERIOR;1
HRBJA;Janeiro;2025;PORTE SEM INFORMAÃ‡ÃƒO;4
HRBJA;Julho;2025;PORTE I - PEQUENO;217
HRBJA;Julho;2025;PORTE II - MÃ‰DIO;52
HRBJA;Julho;2025;PORTE III - GRANDE;9
HRBJA;Julho;2025;PORTE IV - SUPERIOR;1
HRBJA;Julho;2025;PORTE SEM INFORMAÃ‡ÃƒO;1
HRBJA;Junho;2025;PORTE I - PEQUENO;184
HRBJA;Junho;2025;PORTE II - MÃ‰DIO;55
HRBJA;Junho;2025;PORTE III - GRANDE;11
HRBJA;Junho;2025;PORTE SEM INFORMAÃ‡ÃƒO;2
HRBJA;Maio;2025;PORTE I - PEQUENO;217
HRBJA;Maio;2025;PORTE II - MÃ‰DIO;57
HRBJA;Maio;2025;PORTE III - GRANDE;2
HRBJA;Maio;2025;PORTE SEM INFORMAÃ‡ÃƒO;2
HRBJA;MarÃ§o;2025;PORTE I - PEQUENO;208
HRBJA;MarÃ§o;2025;PORTE II - MÃ‰DIO;56
HRBJA;MarÃ§o;2025;PORTE III - GRANDE;6
HRBJA;MarÃ§o;2025;PORTE SEM INFORMAÃ‡ÃƒO;3
HRBJA;Outubro;2025;PORTE I - PEQUENO;180
HRBJA;Outubro;2025;PORTE II - MÃ‰DIO;69
HRBJA;Outubro;2025;PORTE III - GRANDE;9
HRBJA;Outubro;2025;PORTE IV - SUPERIOR;1
HRBJA;Outubro;2025;PORTE SEM INFORMAÃ‡ÃƒO;6
HRBJA;Setembro;2025;PORTE I - PEQUENO;178
HRBJA;Setembro;2025;PORTE II - MÃ‰DIO;56
HRBJA;Setembro;2025;PORTE III - GRANDE;8
HRBJA;Setembro;2025;PORTE IV - SUPERIOR;3
HRBJA;Setembro;2025;PORTE SEM INFORMAÃ‡ÃƒO;3
HRJP;Abril;2025;PORTE I - PEQUENO;291
HRJP;Abril;2025;PORTE II - MÃ‰DIO;49
HRJP;Abril;2025;PORTE III - GRANDE;14
HRJP;Abril;2025;PORTE IV - SUPERIOR;47
HRJP;Abril;2025;PORTE SEM INFORMAÃ‡ÃƒO;1
HRJP;Agosto;2025;PORTE I - PEQUENO;335
HRJP;Agosto;2025;PORTE II - MÃ‰DIO;41
HRJP;Agosto;2025;PORTE III - GRANDE;12
HRJP;Agosto;2025;PORTE IV - SUPERIOR;36
HRJP;Agosto;2025;PORTE SEM INFORMAÃ‡ÃƒO;4
HRJP;Fevereiro;2025;PORTE I - PEQUENO;289
HRJP;Fevereiro;2025;PORTE II - MÃ‰DIO;38
HRJP;Fevereiro;2025;PORTE III - GRANDE;12
HRJP;Fevereiro;2025;PORTE IV - SUPERIOR;18
HRJP;Janeiro;2025;PORTE I - PEQUENO;258
HRJP;Janeiro;2025;PORTE II - MÃ‰DIO;36
HRJP;Janeiro;2025;PORTE III - GRANDE;8
HRJP;Janeiro;2025;PORTE IV - SUPERIOR;16
HRJP;Janeiro;2025;PORTE SEM INFORMAÃ‡ÃƒO;1
HRJP;Julho;2025;PORTE I - PEQUENO;302
HRJP;Julho;2025;PORTE II - MÃ‰DIO;41
HRJP;Julho;2025;PORTE III - GRANDE;13
HRJP;Julho;2025;PORTE IV - SUPERIOR;43
HRJP;Julho;2025;PORTE SEM INFORMAÃ‡ÃƒO;1
HRJP;Junho;2025;PORTE I - PEQUENO;297
HRJP;Junho;2025;PORTE II - MÃ‰DIO;35
HRJP;Junho;2025;PORTE III - GRANDE;15
HRJP;Junho;2025;PORTE IV - SUPERIOR;39
HRJP;Junho;2025;PORTE SEM INFORMAÃ‡ÃƒO;3
HRJP;Maio;2025;PORTE I - PEQUENO;324
HRJP;Maio;2025;PORTE II - MÃ‰DIO;38
HRJP;Maio;2025;PORTE III - GRANDE;18
HRJP;Maio;2025;PORTE IV - SUPERIOR;29
HRJP;MarÃ§o;2025;PORTE I - PEQUENO;282
HRJP;MarÃ§o;2025;PORTE II - MÃ‰DIO;36
HRJP;MarÃ§o;2025;PORTE III - GRANDE;19
HRJP;MarÃ§o;2025;PORTE IV - SUPERIOR;47
HRJP;MarÃ§o;2025;PORTE SEM INFORMAÃ‡ÃƒO;3
HRJP;Outubro;2025;PORTE I - PEQUENO;328
HRJP;Outubro;2025;PORTE II - MÃ‰DIO;36
HRJP;Outubro;2025;PORTE III - GRANDE;9
HRJP;Outubro;2025;PORTE IV - SUPERIOR;41
HRJP;Outubro;2025;PORTE SEM INFORMAÃ‡ÃƒO;1
HRJP;Setembro;2025;PORTE I - PEQUENO;353
HRJP;Setembro;2025;PORTE II - MÃ‰DIO;42
HRJP;Setembro;2025;PORTE III - GRANDE;7
HRJP;Setembro;2025;PORTE IV - SUPERIOR;30
HRJP;Setembro;2025;PORTE SEM INFORMAÃ‡ÃƒO;4
MOV;Abril;2025;PORTE I - PEQUENO;253
MOV;Abril;2025;PORTE II - MÃ‰DIO;107
MOV;Abril;2025;PORTE III - GRANDE;32
MOV;Abril;2025;PORTE IV - SUPERIOR;25
MOV;Agosto;2025;PORTE I - PEQUENO;247
MOV;Agosto;2025;PORTE II - MÃ‰DIO;64
MOV;Agosto;2025;PORTE III - GRANDE;21
MOV;Agosto;2025;PORTE IV - SUPERIOR;13
MOV;Agosto;2025;PORTE SEM INFORMAÃ‡ÃƒO;1
MOV;Fevereiro;2025;PORTE I - PEQUENO;199
MOV;Fevereiro;2025;PORTE II - MÃ‰DIO;86
MOV;Fevereiro;2025;PORTE III - GRANDE;32
MOV;Fevereiro;2025;PORTE IV - SUPERIOR;14
MOV;Janeiro;2025;PORTE I - PEQUENO;223
MOV;Janeiro;2025;PORTE II - MÃ‰DIO;77
MOV;Janeiro;2025;PORTE III - GRANDE;17
MOV;Janeiro;2025;PORTE IV - SUPERIOR;20
MOV;Julho;2025;PORTE I - PEQUENO;243
MOV;Julho;2025;PORTE II - MÃ‰DIO;82
MOV;Julho;2025;PORTE III - GRANDE;21
MOV;Julho;2025;PORTE IV - SUPERIOR;14
MOV;Junho;2025;PORTE I - PEQUENO;280
MOV;Junho;2025;PORTE II - MÃ‰DIO;86
MOV;Junho;2025;PORTE III - GRANDE;24
MOV;Junho;2025;PORTE IV - SUPERIOR;13
MOV;Maio;2025;PORTE I - PEQUENO;253
MOV;Maio;2025;PORTE II - MÃ‰DIO;108
MOV;Maio;2025;PORTE III - GRANDE;22
MOV;Maio;2025;PORTE IV - SUPERIOR;25
MOV;MarÃ§o;2025;PORTE I - PEQUENO;247
MOV;MarÃ§o;2025;PORTE II - MÃ‰DIO;105
MOV;MarÃ§o;2025;PORTE III - GRANDE;26
MOV;MarÃ§o;2025;PORTE IV - SUPERIOR;27
MOV;Outubro;2025;PORTE I - PEQUENO;242
MOV;Outubro;2025;PORTE II - MÃ‰DIO;76
MOV;Outubro;2025;PORTE III - GRANDE;25
MOV;Outubro;2025;PORTE IV - SUPERIOR;15
MOV;Setembro;2025;PORTE I - PEQUENO;241
MOV;Setembro;2025;PORTE II - MÃ‰DIO;71
MOV;Setembro;2025;PORTE III - GRANDE;20
MOV;Setembro;2025;PORTE IV - SUPERIOR;14
HJK;Novembro;2025;PORTE I (0 A 2 HORAS);223
HJK;Novembro;2025;PORTE II ( 2 A 4 HORAS);75
HJK;Novembro;2025;PORTE III (4 A 5 HORAS);21
HJK;Novembro;2025;PORTE IV (ACIMA 6 HORAS);4
HJXXIII;Novembro;2025;PORTE I (0 A 2 HORAS);594
HJXXIII;Novembro;2025;PORTE II ( 2 A 4 HORAS);247
HJXXIII;Novembro;2025;PORTE III (4 A 5 HORAS);64
HJXXIII;Novembro;2025;PORTE IV (ACIMA 6 HORAS);10
HRAD;Novembro;2025;PORTE I (0 A 2 HORAS);289
HRAD;Novembro;2025;PORTE II ( 2 A 4 HORAS);307
HRAD;Novembro;2025;PORTE III (4 A 5 HORAS);64
HRAD;Novembro;2025;PORTE IV (ACIMA 6 HORAS);13
HAC;Novembro;2025;PORTE I - PEQUENO;278
HAC;Novembro;2025;PORTE II - MÉDIO;38
HAC;Novembro;2025;PORTE III - GRANDE;13
HAC;Novembro;2025;PORTE IV - SUPERIOR;4
HAC;Novembro;2025;PORTE SEM INFORMAÇÃO;2
HEM;Novembro;2025;PORTE I - PEQUENO;36
HEM;Novembro;2025;PORTE II - MÉDIO;3
HEM;Novembro;2025;PORTE III - GRANDE;1
HEM;Novembro;2025;PORTE SEM INFORMAÇÃO;1
HRBJA;Novembro;2025;PORTE I - PEQUENO;168
HRBJA;Novembro;2025;PORTE II - MÉDIO;60
HRBJA;Novembro;2025;PORTE III - GRANDE;9
HRBJA;Novembro;2025;PORTE IV - SUPERIOR;2
HRBJA;Novembro;2025;PORTE SEM INFORMAÇÃO;8
HRJP;Novembro;2025;PORTE I - PEQUENO;300
HRJP;Novembro;2025;PORTE II - MÉDIO;35
HRJP;Novembro;2025;PORTE III - GRANDE;11
HRJP;Novembro;2025;PORTE IV - SUPERIOR;36
HRJP;Novembro;2025;PORTE SEM INFORMAÇÃO;4
MOV;Novembro;2025;PORTE I - PEQUENO;260
MOV;Novembro;2025;PORTE II - MÉDIO;69
MOV;Novembro;2025;PORTE III - GRANDE;16
MOV;Novembro;2025;PORTE IV - SUPERIOR;11
