unidade;mes;ano;porte;quantidade
HAC;Janeiro;2023;PORTE I (0 A 2 HORAS);54
HAC;Janeiro;2023;PORTE II ( 2 A 4 HORAS);32
HAC;Janeiro;2023;PORTE III (4 A 5 HORAS);10
HAC;Janeiro;2023;PORTE IV (ACIMA 6 HORAS);3
HAC;Fevereiro;2023;PORTE I (0 A 2 HORAS);67
HAC;Fevereiro;2023;PORTE II ( 2 A 4 HORAS);31
HAC;Fevereiro;2023;PORTE III (4 A 5 HORAS);12
HAC;Fevereiro;2023;PORTE IV (ACIMA 6 HORAS);5
HAC;Março;2023;PORTE I (0 A 2 HORAS);100
HAC;Março;2023;PORTE II ( 2 A 4 HORAS);54
HAC;Março;2023;PORTE III (4 A 5 HORAS);24
HAC;Março;2023;PORTE IV (ACIMA 6 HORAS);3
HAC;Abril;2023;PORTE I (0 A 2 HORAS);67
HAC;Abril;2023;PORTE II ( 2 A 4 HORAS);36
HAC;Abril;2023;PORTE III (4 A 5 HORAS);31
HAC;Abril;2023;PORTE IV (ACIMA 6 HORAS);5
HAC;Maio;2023;PORTE I (0 A 2 HORAS);97
HAC;Maio;2023;PORTE II ( 2 A 4 HORAS);51
HAC;Maio;2023;PORTE III (4 A 5 HORAS);21
HAC;Maio;2023;PORTE IV (ACIMA 6 HORAS);9
HEM;Janeiro;2023;PORTE I (0 A 2 HORAS);33
HEM;Janeiro;2023;PORTE II ( 2 A 4 HORAS);0
HEM;Janeiro;2023;PORTE III (4 A 5 HORAS);0
HEM;Janeiro;2023;PORTE IV (ACIMA 6 HORAS);0
HEM;Fevereiro;2023;PORTE I (0 A 2 HORAS);41
HEM;Fevereiro;2023;PORTE II ( 2 A 4 HORAS);0
HEM;Fevereiro;2023;PORTE III (4 A 5 HORAS);0
HEM;Fevereiro;2023;PORTE IV (ACIMA 6 HORAS);0
HEM;Março;2023;PORTE I (0 A 2 HORAS);65
HEM;Março;2023;PORTE II ( 2 A 4 HORAS);0
HEM;Março;2023;PORTE III (4 A 5 HORAS);0
HEM;Março;2023;PORTE IV (ACIMA 6 HORAS);0
HEM;Abril;2023;PORTE I (0 A 2 HORAS);52
HEM;Abril;2023;PORTE II ( 2 A 4 HORAS);0
HEM;Abril;2023;PORTE III (4 A 5 HORAS);0
HEM;Abril;2023;PORTE IV (ACIMA 6 HORAS);0
HEM;Maio;2023;PORTE I (0 A 2 HORAS);55
HEM;Maio;2023;PORTE II ( 2 A 4 HORAS);0
HEM;Maio;2023;PORTE III (4 A 5 HORAS);0
HEM;Maio;2023;PORTE IV (ACIMA 6 HORAS);0
HGBJA;Janeiro;2023;PORTE I (0 A 2 HORAS);91
HGBJA;Janeiro;2023;PORTE II ( 2 A 4 HORAS);42
HGBJA;Janeiro;2023;PORTE III (4 A 5 HORAS);2
HGBJA;Janeiro;2023;PORTE IV (ACIMA 6 HORAS);0
HGBJA;Fevereiro;2023;PORTE I (0 A 2 HORAS);105
HGBJA;Fevereiro;2023;PORTE II ( 2 A 4 HORAS);29
HGBJA;Fevereiro;2023;PORTE III (4 A 5 HORAS);3
HGBJA;Fevereiro;2023;PORTE IV (ACIMA 6 HORAS);0
HGBJA;Março;2023;PORTE I (0 A 2 HORAS);99
HGBJA;Março;2023;PORTE II ( 2 A 4 HORAS);24
HGBJA;Março;2023;PORTE III (4 A 5 HORAS);0
HGBJA;Março;2023;PORTE IV (ACIMA 6 HORAS);0
HGBJA;Abril;2023;PORTE I (0 A 2 HORAS);97
HGBJA;Abril;2023;PORTE II ( 2 A 4 HORAS);25
HGBJA;Abril;2023;PORTE III (4 A 5 HORAS);1
HGBJA;Abril;2023;PORTE IV (ACIMA 6 HORAS);1
HGBJA;Maio;2023;PORTE I (0 A 2 HORAS);96
HGBJA;Maio;2023;PORTE II ( 2 A 4 HORAS);19
HGBJA;Maio;2023;PORTE III (4 A 5 HORAS);4
HGBJA;Maio;2023;PORTE IV (ACIMA 6 HORAS);0
HJK;Janeiro;2023;PORTE I (0 A 2 HORAS);18
HJK;Janeiro;2023;PORTE II ( 2 A 4 HORAS);19
HJK;Janeiro;2023;PORTE III (4 A 5 HORAS);3
HJK;Janeiro;2023;PORTE IV (ACIMA 6 HORAS);0
HJK;Fevereiro;2023;PORTE I (0 A 2 HORAS);15
HJK;Fevereiro;2023;PORTE II ( 2 A 4 HORAS);19
HJK;Fevereiro;2023;PORTE III (4 A 5 HORAS);1
HJK;Fevereiro;2023;PORTE IV (ACIMA 6 HORAS);0
HJK;Março;2023;PORTE I (0 A 2 HORAS);44
HJK;Março;2023;PORTE II ( 2 A 4 HORAS);27
HJK;Março;2023;PORTE III (4 A 5 HORAS);1
HJK;Março;2023;PORTE IV (ACIMA 6 HORAS);1
HJK;Abril;2023;PORTE I (0 A 2 HORAS);79
HJK;Abril;2023;PORTE II ( 2 A 4 HORAS);19
HJK;Abril;2023;PORTE III (4 A 5 HORAS);5
HJK;Abril;2023;PORTE IV (ACIMA 6 HORAS);1
HJK;Maio;2023;PORTE I (0 A 2 HORAS);120
HJK;Maio;2023;PORTE II ( 2 A 4 HORAS);35
HJK;Maio;2023;PORTE III (4 A 5 HORAS);6
HJK;Maio;2023;PORTE IV (ACIMA 6 HORAS);2
HJXXIII;Janeiro;2023;PORTE I (0 A 2 HORAS);371
HJXXIII;Janeiro;2023;PORTE II ( 2 A 4 HORAS);139
HJXXIII;Janeiro;2023;PORTE III (4 A 5 HORAS);25
HJXXIII;Janeiro;2023;PORTE IV (ACIMA 6 HORAS);5
HJXXIII;Fevereiro;2023;PORTE I (0 A 2 HORAS);322
HJXXIII;Fevereiro;2023;PORTE II ( 2 A 4 HORAS);105
HJXXIII;Fevereiro;2023;PORTE III (4 A 5 HORAS);16
HJXXIII;Fevereiro;2023;PORTE IV (ACIMA 6 HORAS);8
HJXXIII;Março;2023;PORTE I (0 A 2 HORAS);434
HJXXIII;Março;2023;PORTE II ( 2 A 4 HORAS);147
HJXXIII;Março;2023;PORTE III (4 A 5 HORAS);23
HJXXIII;Março;2023;PORTE IV (ACIMA 6 HORAS);7
HJXXIII;Abril;2023;PORTE I (0 A 2 HORAS);388
HJXXIII;Abril;2023;PORTE II ( 2 A 4 HORAS);130
HJXXIII;Abril;2023;PORTE III (4 A 5 HORAS);34
HJXXIII;Abril;2023;PORTE IV (ACIMA 6 HORAS);5
HJXXIII;Maio;2023;PORTE I (0 A 2 HORAS);402
HJXXIII;Maio;2023;PORTE II ( 2 A 4 HORAS);173
HJXXIII;Maio;2023;PORTE III (4 A 5 HORAS);39
HJXXIII;Maio;2023;PORTE IV (ACIMA 6 HORAS);6
HMAL;Janeiro;2023;PORTE I (0 A 2 HORAS);154
HMAL;Janeiro;2023;PORTE II ( 2 A 4 HORAS);46
HMAL;Janeiro;2023;PORTE III (4 A 5 HORAS);1
HMAL;Janeiro;2023;PORTE IV (ACIMA 6 HORAS);0
HMAL;Fevereiro;2023;PORTE I (0 A 2 HORAS);150
HMAL;Fevereiro;2023;PORTE II ( 2 A 4 HORAS);41
HMAL;Fevereiro;2023;PORTE III (4 A 5 HORAS);5
HMAL;Fevereiro;2023;PORTE IV (ACIMA 6 HORAS);0
HMAL;Março;2023;PORTE I (0 A 2 HORAS);161
HMAL;Março;2023;PORTE II ( 2 A 4 HORAS);75
HMAL;Março;2023;PORTE III (4 A 5 HORAS);8
HMAL;Março;2023;PORTE IV (ACIMA 6 HORAS);0
HMAL;Abril;2023;PORTE I (0 A 2 HORAS);140
HMAL;Abril;2023;PORTE II ( 2 A 4 HORAS);55
HMAL;Abril;2023;PORTE III (4 A 5 HORAS);7
HMAL;Abril;2023;PORTE IV (ACIMA 6 HORAS);0
HMAL;Maio;2023;PORTE I (0 A 2 HORAS);203
HMAL;Maio;2023;PORTE II ( 2 A 4 HORAS);54
HMAL;Maio;2023;PORTE III (4 A 5 HORAS);3
HMAL;Maio;2023;PORTE IV (ACIMA 6 HORAS);0
HRAD;Janeiro;2023;PORTE I (0 A 2 HORAS);355
HRAD;Janeiro;2023;PORTE II ( 2 A 4 HORAS);69
HRAD;Janeiro;2023;PORTE III (4 A 5 HORAS);3
HRAD;Janeiro;2023;PORTE IV (ACIMA 6 HORAS);2
HRAD;Fevereiro;2023;PORTE I (0 A 2 HORAS);331
HRAD;Fevereiro;2023;PORTE II ( 2 A 4 HORAS);45
HRAD;Fevereiro;2023;PORTE III (4 A 5 HORAS);9
HRAD;Março;2023;PORTE I (0 A 2 HORAS);358
HRAD;Março;2023;PORTE II ( 2 A 4 HORAS);54
HRAD;Março;2023;PORTE III (4 A 5 HORAS);6
HRAD;Março;2023;PORTE IV (ACIMA 6 HORAS);1
HRAD;Abril;2023;PORTE I (0 A 2 HORAS);327
HRAD;Abril;2023;PORTE II ( 2 A 4 HORAS);48
HRAD;Abril;2023;PORTE III (4 A 5 HORAS);5
HRAD;Abril;2023;PORTE IV (ACIMA 6 HORAS);1
HRAD;Maio;2023;PORTE I (0 A 2 HORAS);380
HRAD;Maio;2023;PORTE II ( 2 A 4 HORAS);63
HRAD;Maio;2023;PORTE III (4 A 5 HORAS);7
HRJP;Janeiro;2023;PORTE I (0 A 2 HORAS);64
HRJP;Janeiro;2023;PORTE II ( 2 A 4 HORAS);17
HRJP;Janeiro;2023;PORTE III (4 A 5 HORAS);1
HRJP;Fevereiro;2023;PORTE I (0 A 2 HORAS);82
HRJP;Fevereiro;2023;PORTE II ( 2 A 4 HORAS);13
HRJP;Fevereiro;2023;PORTE III (4 A 5 HORAS);1
HRJP;Março;2023;PORTE I (0 A 2 HORAS);116
HRJP;Março;2023;PORTE II ( 2 A 4 HORAS);22
HRJP;Março;2023;PORTE III (4 A 5 HORAS);1
HRJP;Abril;2023;PORTE I (0 A 2 HORAS);103
HRJP;Abril;2023;PORTE II ( 2 A 4 HORAS);16
HRJP;Abril;2023;PORTE III (4 A 5 HORAS);2
HRJP;Maio;2023;PORTE I (0 A 2 HORAS);133
HRJP;Maio;2023;PORTE II ( 2 A 4 HORAS);12
HRJP;Maio;2023;PORTE III (4 A 5 HORAS);1
MOV;Fevereiro;2023;PORTE I (0 A 2 HORAS);1
MOV;Fevereiro;2023;PORTE II ( 2 A 4 HORAS);1
MOV;Março;2023;PORTE I (0 A 2 HORAS);11
MOV;Março;2023;PORTE II ( 2 A 4 HORAS);1
MOV;Abril;2023;PORTE I (0 A 2 HORAS);25
MOV;Abril;2023;PORTE II ( 2 A 4 HORAS);3
